Country code,State code,Postcode / ZIP,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
US,AK,99501,ANCHORAGE BOROUGH,7.8500%,AK State Tax,1,0,0,
US,AK,99502,ANCHORAGE BOROUGH,7.0000%,AK State Tax,1,0,0,
US,AK,99503,ANCHORAGE BOROUGH,7.0000%,AK State Tax,1,0,0,
US,AK,99504,ANCHORAGE BOROUGH,7.0000%,AK State Tax,1,0,0,
US,AK,99505,ANCHORAGE BOROUGH,7.0000%,AK State Tax,1,0,0,
US,AK,99506,ANCHORAGE BOROUGH,6.5000%,AK State Tax,1,0,0,
US,AK,99507,ANCHORAGE BOROUGH,6.5000%,AK State Tax,1,0,0,
US,AK,99508,ANCHORAGE BOROUGH,6.5000%,AK State Tax,1,0,0,
US,AK,99509,ANCHORAGE BOROUGH,6.0000%,AK State Tax,1,0,0,
US,AK,99510,KENAI PENINSULA BURROUGH,6.0000%,AK State Tax,1,0,0,
US,AK,99511,ANCHORAGE BOROUGH,6.0000%,AK State Tax,1,0,0,
US,AK,99513,ANCHORAGE BOROUGH,6.0000%,AK State Tax,1,0,0,
US,AK,99514,ANCHORAGE BOROUGH,6.0000%,AK State Tax,1,0,0,
US,AK,99515,ANCHORAGE BOROUGH,6.0000%,AK State Tax,1,0,0,
US,AK,99516,ANCHORAGE BOROUGH,6.0000%,AK State Tax,1,0,0,
US,AK,99517,ANCHORAGE BOROUGH,6.0000%,AK State Tax,1,0,0,
US,AK,99518,ANCHORAGE BOROUGH,6.0000%,AK State Tax,1,0,0,
US,AK,99519,ANCHORAGE BOROUGH,6.0000%,AK State Tax,1,0,0,
US,AK,99520,ANCHORAGE BOROUGH,6.0000%,AK State Tax,1,0,0,
US,AK,99521,ANCHORAGE BOROUGH,6.0000%,AK State Tax,1,0,0,
US,AK,99522,ANCHORAGE BOROUGH,5.0000%,AK State Tax,1,0,0,
US,AK,99523,ANCHORAGE BOROUGH,5.0000%,AK State Tax,1,0,0,
US,AK,99524,ANCHORAGE BOROUGH,5.0000%,AK State Tax,1,0,0,
US,AK,99529,ANCHORAGE BOROUGH,5.0000%,AK State Tax,1,0,0,
US,AK,99530,ANCHORAGE BOROUGH,5.0000%,AK State Tax,1,0,0,
US,AK,99540,ANCHORAGE BOROUGH,5.0000%,AK State Tax,1,0,0,
US,AK,99545,ALASKA STATE,5.0000%,AK State Tax,1,0,0,
US,AK,99548,LAKE AND PENINSULA BOROUGH,5.0000%,AK State Tax,1,0,0,
US,AK,99550,KODIAK ISLAND BOROUGH,5.0000%,AK State Tax,1,0,0,
US,AK,99551,ALASKA STATE,5.0000%,AK State Tax,1,0,0,
US,AK,99552,ALASKA STATE,5.0000%,AK State Tax,1,0,0,
US,AK,99553,ALEUTIANS EAST BOROUGH,5.0000%,AK State Tax,1,0,0,
US,AK,99554,ALAKANUK,4.0000%,AK State Tax,1,0,0,
US,AK,99555,ALEKNAGIK,4.0000%,AK State Tax,1,0,0,
US,AK,99556,KENAI PENINSULA BURROUGH,4.0000%,AK State Tax,1,0,0,
US,AK,99557,ANIAK,4.0000%,AK State Tax,1,0,0,
US,AK,99558,ANVIK,4.0000%,AK State Tax,1,0,0,
US,AK,99559,BETHEL,4.0000%,AK State Tax,1,0,0,
US,AK,99561,ALASKA STATE,4.0000%,AK State Tax,1,0,0,
US,AK,99563,ALASKA STATE,4.0000%,AK State Tax,1,0,0,
US,AK,99564,LAKE AND PENINSULA BOROUGH,4.0000%,AK State Tax,1,0,0,
US,AK,99565,KENAI PENINSULA BURROUGH,3.5000%,AK State Tax,1,0,0,
US,AK,99566,ALASKA STATE,3.0000%,AK State Tax,1,0,0,
US,AK,99567,ANCHORAGE BOROUGH,3.0000%,AK State Tax,1,0,0,
US,AK,99568,KENAI PENINSULA BURROUGH,3.0000%,AK State Tax,1,0,0,
US,AK,99569,MANOKOTAK,3.0000%,AK State Tax,1,0,0,
US,AK,99571,ALEUTIANS EAST BOROUGH,3.0000%,AK State Tax,1,0,0,
US,AK,99572,KENAI PENINSULA BURROUGH,3.0000%,AK State Tax,1,0,0,
US,AK,99573,ALASKA STATE,3.0000%,AK State Tax,1,0,0,
US,AK,99574,CORDOVA,3.0000%,AK State Tax,1,0,0,
US,AK,99575,ALASKA STATE,3.0000%,AK State Tax,1,0,0,
US,AK,99576,DILLINGHAM,3.0000%,AK State Tax,1,0,0,
US,AK,99577,ANCHORAGE BOROUGH,3.0000%,AK State Tax,1,0,0,
US,AK,99578,ALASKA STATE,3.0000%,AK State Tax,1,0,0,
US,AK,99579,EGEGIK,3.0000%,AK State Tax,1,0,0,
US,AK,99580,LAKE AND PENINSULA BOROUGH,3.0000%,AK State Tax,1,0,0,
US,AK,99581,EMMONAK,3.0000%,AK State Tax,1,0,0,
US,AK,99583,FALSE PASS,3.0000%,AK State Tax,1,0,0,
US,AK,99585,MARSHALL,3.0000%,AK State Tax,1,0,0,
US,AK,99586,ALASKA STATE,3.0000%,AK State Tax,1,0,0,
US,AK,99587,ANCHORAGE BOROUGH,3.0000%,AK State Tax,1,0,0,
US,AK,99588,ALASKA STATE,3.0000%,AK State Tax,1,0,0,
US,AK,99589,GOODNEWS BAY,3.0000%,AK State Tax,1,0,0,
US,AK,99590,GRAYLING,3.0000%,AK State Tax,1,0,0,
US,AK,99599,ANCHORAGE BOROUGH,3.0000%,AK State Tax,1,0,0,
US,AK,99602,HOLY CROSS,3.0000%,AK State Tax,1,0,0,
US,AK,99603,HOMER,3.0000%,AK State Tax,1,0,0,
US,AK,99604,ALASKA STATE,3.0000%,AK State Tax,1,0,0,
US,AK,99605,KENAI PENINSULA BURROUGH,3.0000%,AK State Tax,1,0,0,
US,AK,99606,LAKE AND PENINSULA BOROUGH,3.0000%,AK State Tax,1,0,0,
US,AK,99607,UPPER KALSKAG,3.0000%,AK State Tax,1,0,0,
US,AK,99608,KODIAK ISLAND BOROUGH,3.0000%,AK State Tax,1,0,0,
US,AK,99609,ALASKA STATE,3.0000%,AK State Tax,1,0,0,
US,AK,99610,KENAI PENINSULA BURROUGH,2.5000%,AK State Tax,1,0,0,
US,AK,99611,KENAI,2.0000%,AK State Tax,1,0,0,
US,AK,99612,KING COVE,2.0000%,AK State Tax,1,0,0,
US,AK,99613,LAKE AND PENINSULA BOROUGH,2.0000%,AK State Tax,1,0,0,
US,AK,99614,ALASKA STATE,2.0000%,AK State Tax,1,0,0,
US,AK,99615,KODIAK,2.0000%,AK State Tax,1,0,0,
US,AK,99619,KODIAK,2.0000%,AK State Tax,1,0,0,
US,AK,99620,ALASKA STATE,2.0000%,AK State Tax,1,0,0,
US,AK,99621,KWETHLUK,1.0000%,AK State Tax,1,0,0,
US,AK,99622,ALASKA STATE,0.0000%,AK State Tax,1,0,0,
US,AK,99623,MATANUSKA-SUSITNA BOROUGH,0.0000%,AK State Tax,1,0,0,
US,AK,99624,LARSEN BAY,0.0000%,AK State Tax,1,0,0,
US,AK,99625,LAKE AND PENINSULA BOROUGH,0.0000%,AK State Tax,1,0,0,
US,AK,99626,LOWER KALSKAG,0.0000%,AK State Tax,1,0,0,
US,AK,99627,ALASKA STATE,0.0000%,AK State Tax,1,0,0,
US,AK,99628,MANOKOTAK,0.0000%,AK State Tax,1,0,0,
US,AK,99630,ALASKA STATE,0.0000%,AK State Tax,1,0,0,
US,AK,99631,KENAI PENINSULA BURROUGH,0.0000%,AK State Tax,1,0,0,
US,AK,99632,MOUNTAIN VILLAGE,0.0000%,AK State Tax,1,0,0,
US,AK,99633,BRISTOL BAY BOROUGH,0.0000%,AK State Tax,1,0,0,
US,AK,99634,NAPAKIAK,0.0000%,AK State Tax,1,0,0,
US,AK,99635,KENAI,0.0000%,AK State Tax,1,0,0,
US,AK,99636,NEW STUYAHOK,0.0000%,AK State Tax,1,0,0,
US,AK,99637,ALASKA STATE,0.0000%,AK State Tax,1,0,0,
US,AK,99638,ALASKA STATE,0.0000%,AK State Tax,1,0,0,
US,AK,99639,KENAI PENINSULA BURROUGH,0.0000%,AK State Tax,1,0,0,
US,AK,99640,LAKE AND PENINSULA BOROUGH,0.0000%,AK State Tax,1,0,0,
US,AK,99641,ALASKA STATE,0.0000%,AK State Tax,1,0,0,
US,AK,99643,OLD HARBOR,0.0000%,AK State Tax,1,0,0,
US,AK,99644,OUZINKIE,0.0000%,AK State Tax,1,0,0,
US,AK,99645,MATANUSKA-SUSITNA BOROUGH,0.0000%,AK State Tax,1,0,0,
US,AK,99647,LAKE AND PENINSULA BOROUGH,0.0000%,AK State Tax,1,0,0,
US,AK,99648,LAKE AND PENINSULA BOROUGH,0.0000%,AK State Tax,1,0,0,
US,AK,99649,PILOT POINT,0.0000%,AK State Tax,1,0,0,
US,AK,99650,PILOT STATION,0.0000%,AK State Tax,1,0,0,
US,AK,99651,ALASKA STATE,0.0000%,AK State Tax,1,0,0,
US,AK,99652,MATANUSKA-SUSITNA BOROUGH,0.0000%,AK State Tax,1,0,0,
